"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Armenia","ARM","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2173874035.52844","2067532467.53247","1063520722.19943","1200012815.03631","1311138636.33807","1507838735.18942","1641698946.23708","1736697182.63351","1952541820.81269","1900438465.96643","1970535935.80291","2182070540.84243","2458706347.955","2899936467.50868","3724967487.29965","5106475890.47117","6686478968.61547","9703722072.8786","12353321001.708","9006718596.46194","9718566996.01031","10502185416.5704","11042356845.1045","11804011412.1342","12131729269.7992","10981745035.9775","10791195836.7939","11933013892.6253","12658281183.7745","13807148386.5538","12439008672.029","13479935696.4488","19024863987.2358","23559761802.9472","25043571864.5806","",
"American Samoa","ASM","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","75600000","77000000","67700000","68500000","79200000","84700000","105600000","127200000","139300000","151100000","166000000","178200000","189700000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","77307407.4074074","87640740.7407407","107796296.296296","131251851.851852","147388888.888889","162744444.444444","183866666.666667","211814814.814815","243670370.37037","261529629.62963","306907407.407407","379770370.37037","409692592.592593","433392592.592593","472137037.037037","495466666.666667","542725925.925926","598522222.222222","589192592.592593","652922222.222222","712266666.666667","768751851.851852","812099259.259259","856484814.814815","825933333.333333","847859259.259259","894440740.740741","968059259.259259","1088925925.92593","1240422222.22222","1414159259.25926","1485062962.96296","1318488888.88889","1230762962.96296","1217077777.77778","1277966666.66667","1255181481.48148","1317974074.07407","1352948148.14815","1392200000","1458703703.7037","1584474074.07407","1654751851.85185","1412451851.85185","1544837037.03704","1773874074.07407","1921359259.25926","2098030281.48148","",
"Australia","AUS","GNI (current US$)","NY.GNP.MKTP.CD","18668162986.9061","19691843150.6949","20013283202.1253","21512963442.0742","23833603813.3766","26090404174.4647","27291044366.5671","30274724843.956","32462085193.9336","36206245792.9993","40931526549.0443","44789927166.3883","51898364485.9813","63965406790.5189","88782608695.6522","97655332513.997","105214396817.514","109733883918.33","117239699174.851","133460184028.172","148642896935.933","176574944850.807","190642171466.402","176178871375.601","191410707364.166","178352078828.495","179446698377.168","186275807305.453","232073736474.177","292093203529.331","300991217479.163","313317181021.269","313431228841.389","304261523327.712","316171566931.857","356046183546.184","387778916707.954","421698353892.074","387769789052.432","378196515854.117","404911940032.305","369739326243.076","385709359959.021","455366919044.846","598160478019.633","671050821465.219","720648728135.262","818534976839.13","1015284425321.01","899122070746.785","1107931544735.5","1346752272339.62","1505600343176.99","1544415843961.05","1436245658777.88","1329206917868","1182946465487.62","1294543002785.18","1387743000651.1","1350713662978.85","1301591217301.01","1539999805951.18","1629211583573.56","1657945321649.23","1695733097667.25","",
"Austria","AUT","GNI (current US$)","NY.GNP.MKTP.CD","6665290668.48437","7392264789.48424","7841518465.96394","8466389604.05918","9270961881.7267","10104123766.9865","11009144481.4641","11696499974.8725","12547343821.5636","13713822541.338","15383414659.963","17883389139.7731","22065908685.0408","29506403823.178","35228686690.2238","40075809433.5151","42914850809.2353","51449174090.4171","61899483559.1775","73782930519.8147","81826885768.9853","70676885260.0657","71020472695.0069","72019885858.7406","67824235609.6555","69238440409.6834","98530297431.2754","123555003265.128","133185760615.179","133086163286.531","166567654604.865","172986461991.75","194797977710.994","190162705548.326","203055123479.099","239174832810.154","235816090460.099","210739880482.58","215741440640.285","212979436461.39","194463389552.157","193775896820","211593301929.883","260120851968.117","298795038885.947","313283080118.288","334691543480.823","386367909771.766","432837598506.797","399116013671.836","393109195156.667","430410938011.674","407165076060.117","427714570810.04","439031381243.175","375674518639.57","393518778426.188","410993827536.471","447902034078.745","441977716161.568","439178173138.211","488391203446.891","474420209585.41","520193903465.303","533758610076.562","",
"Azerbaijan","AZE","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8890909090.90909","5348000000","445009225.092251","1575393848.46212","1194096387.4604","2413479413.94049","3167324031.41866","3953203901.76583","4461488756.7847","4768012931.52095","5178072731.05201","5562874939.46744","6042087549.01436","7024617521.22393","8166818629.56601","11734666354.9889","18470079299.789","28219348252.7001","43831089798.2035","41022888018.2835","49741091452.7785","61441003132.8908","65735414850.2186","70472288892.4862","73082959455.4451","51379123217.2905","35591412539.2769","39321618331.876","44853080880.9559","46318529411.7647","42422882352.9412","53687352941.1765","73522647058.8235","69385882352.9412","71747352941.1765","",
"Burundi","BDI","GNI (current US$)","NY.GNP.MKTP.CD","193892004","200819998","211212002","230278000","257986008","157479111.111111","156048000","166971428.571429","169680000","178171428.571429","235283428.571429","243766857.142857","235406857.142857","295982248.687594","336273015.873016","412341587.301587","437150144.927536","537186666.666667","595765555.555556","772336666.666667","921813333.333333","966146666.666667","1005555555.55556","1073595481.44164","974118285.857489","1131604109.70254","1181080844.35491","1103051149.23924","1059467929.76958","1096300427.94028","1117211760.24058","1156153553.73995","1069379682.96184","928818579.07743","913654989.848138","988018268.88428","855125492.320396","960396267.915425","885470740.908452","796772713.286962","884786065.883137","864477157.825014","811709106.906995","766758030.795662","887956197.145997","1099326369.19285","1264550109.90148","1350312449.18461","1607531530.94505","1758515635.796","2021267251.23096","2218323650.81024","2320896738.27095","2453409163.65623","2698365544.26056","2810889258.70119","2616822069.15909","2832836333.37071","2919066737.05781","2878970464.4605","3242392082.28592","3443714644.27803","4050179115.756","3436752164.75555","3092651640.27335","",
"Belgium","BEL","GNI (current US$)","NY.GNP.MKTP.CD","12015560481.3298","12746887551.0091","13611389534.4754","14610401476.4428","16338953142.3323","17809797461.5437","19126919957.1343","20506702120.6355","21933333592.5408","24319041682.726","27089802339.6531","30210254913.2473","37705546695.9949","48300143862.5543","56680050745.6504","66428486344.1922","71947319749.2163","83582818232.9769","102036695273.473","116682691249.312","126898081114.637","104870916992.612","91784983224.4393","86845298619.3294","83204003071.7677","86372091854.0662","120264512371.32","150162393300.918","163105286889.742","164539499385.749","205980494929.986","211977481393.975","236359025094.103","228457699393.657","250882987701.953","294350437876.3","285695114006.515","258857352277.853","264807068237.386","264261508381.506","242895045507.608","241174671366.339","262848882179.059","324156068000.195","374341455841.082","390533497082.023","414131146527.529","477472767241.296","529910842181.875","494515923328.515","488893682611.668","528029734267.511","509666801090.977","536136947871.256","548902514458.351","467533864636.64","478523735047.705","505375752659.53","548120195689.725","541251484269.019","534435843769.651","606238974846.89","599066523040.08","662965153668.247","682334162832.656","",
"Benin","BEN","GNI (current US$)","NY.GNP.MKTP.CD","225482255.455014","234942177.019889","235707445.372139","253176507.391541","269046301.817679","289108671.641642","302825235.329871","305821945.28055","324923119.287761","328248234.288019","331127729.566977","331970374.676923","408231847.137933","504376074.185709","556954838.53267","675570202.26034","698408261.922237","749849780.214023","929143478.037752","1187431004.43507","1402351915.6882","1287920221.73451","1261778630.54846","1082048244.78243","1021533996.23385","1024412789.17532","1310102025.28918","1533812227.8114","1595446083.89953","1464137972.15978","1921032674.26561","1955598214.71795","1634867229.43653","2234725478.67986","1562942657.81931","2125371477.98198","2315095220.83592","2238481587.4834","2441702856.3055","3665050653.55803","3507693634.36761","3651633566.79224","4166070196.61166","5311078928.63798","6153203074.87323","6549889470.4113","7003871603.73307","8120524847.77096","9776380267.19374","9705498262.94296","9481809633.43508","10677821363.6638","11074623463.0036","12448828489.0859","13223585561.7576","11322499745.2605","11783269383.973","12669871034.6517","14207330378.0074","14320887678.382","15565378778.5379","17498318150.5892","17300026295.1923","19469373894.1387","21256534919.151","",
"Burkina Faso","BFA","GNI (current US$)","NY.GNP.MKTP.CD","334894682.092364","353437390.317974","388060887.218984","397465363.444254","413758192.233887","419289007.933023","432185666.746162","449034396.771284","458847289.024177","476700187.621528","458404268.761971","481906450.808234","577291724.45051","674535350.152008","748879457.543383","927901103.013398","967025163.798155","1111036713.833","1464483405.39439","1739271445.26957","1924639586.16346","1766034842.49576","1744188156.6995","1590193580.51632","1454929984.52162","1546793233.87715","2030903449.74309","2361034849.39713","2602940400.66092","2603687670.83392","3093954988.40636","3125829219.943","3344716312.9167","3180859979.73624","1881026831.58861","2369479874.70965","2593450483.0717","2445476192.29881","2802105765.33989","3393482477.33794","2964619500.18339","3178291925.47716","3588060178.93616","4686123788.38184","5406279936.20608","6082308541.21132","6528831607.36995","7603256499.99443","9414697518.37982","9333203850.05682","9807542782.09475","11592644774.9473","12243495087.5098","13080707616.4124","13337500892.7969","11293125664.7767","12261728232.1903","13577334630.1408","15387936815.3249","15363169150.7393","16949484378.0992","18544139149.7414","17415240167.9441","18992129087.4064","21744267527.2455","",
